frame,mpjpe_mean,mpjpe_std,pampjpe_mean,pampjpe_std,count,mmwave_points_mean,loc_err_mean,centroid_err_mean,gt_jerk_mean,pred_jerk_mean,gt_flip_mean,pred_flip_mean,gt_lidar_dist_mean,pred_lidar_dist_mean
0,59.791534,29.837299,35.186775,15.401813,108,32.546296,0.000000,1.208464,0.000000,0.000000,0.000000,0.000000,0.072794,0.067691
1,42.357883,23.498419,29.322140,14.046700,108,31.907407,0.000000,1.242151,0.000000,0.000000,0.000000,0.000000,0.073360,0.068967
2,39.294785,20.023054,28.952951,14.885329,108,32.185185,0.000000,1.242124,0.035470,0.046643,0.241285,0.381264,0.073214,0.069036
3,33.767895,18.307930,24.473892,11.389688,108,29.972222,0.000000,1.245304,0.039784,0.033675,0.296296,0.412854,0.073256,0.069606
4,30.976904,17.748659,22.555876,10.536103,108,30.175926,0.000000,1.248434,0.037060,0.033884,0.273420,0.415033,0.073461,0.070857
5,30.335629,19.835424,21.631718,9.841660,108,30.287037,0.000000,1.250654,0.034886,0.036457,0.238562,0.404684,0.074968,0.072605
6,29.460676,17.754578,21.266045,10.278938,108,29.925926,0.000000,1.249755,0.036080,0.036760,0.246732,0.440632,0.074852,0.072486
7,30.046900,17.751211,22.328053,10.787520,108,29.824074,0.000000,1.250663,0.034834,0.036120,0.264161,0.434096,0.073799,0.071637
8,30.206310,18.564503,21.940331,10.998665,108,30.324074,0.000000,1.257001,0.037718,0.035928,0.293028,0.464052,0.074475,0.072070
9,29.181812,18.421371,21.169991,10.793467,108,30.509259,0.000000,1.261208,0.035176,0.035221,0.246732,0.456427,0.074904,0.072295
10,29.632790,18.427891,21.620909,10.714602,108,30.444444,0.000000,1.261300,0.035213,0.035097,0.241830,0.425381,0.074067,0.071397
11,29.848293,18.545605,21.297060,9.970932,108,30.425926,0.000000,1.261296,0.034470,0.033531,0.266885,0.396514,0.072651,0.070354
12,29.574253,18.724205,21.786201,10.730536,108,30.027778,0.000000,1.261684,0.036729,0.037006,0.280501,0.478214,0.072359,0.070447
13,29.616865,18.042717,21.176859,10.407465,108,29.861111,0.000000,1.263409,0.034585,0.034714,0.253813,0.452614,0.070672,0.069312
14,29.758802,17.418196,21.690783,9.525929,108,29.250000,0.000000,1.265902,0.034805,0.034155,0.257625,0.397603,0.072193,0.070891
15,29.569983,17.653364,21.472618,10.079408,108,28.750000,0.000000,1.266462,0.035029,0.035242,0.263617,0.471678,0.072653,0.070928
16,29.555592,17.738573,21.472383,9.913803,108,28.990741,0.000000,1.264691,0.034437,0.034906,0.265795,0.447168,0.071054,0.069210
17,29.206638,16.697380,21.036531,8.695352,108,30.000000,0.000000,1.264380,0.033389,0.033327,0.254357,0.470588,0.070298,0.067577
