seq_idx,frame_idx,mpjpe,pampjpe,mmwave_points,loc_err,centroid_err,gt_jerk,pred_jerk,gt_flip,pred_flip,gt_lidar_dist,pred_lidar_dist
701,270,199.557236,229.058060,52,nan,1.158917,0.264777,0.032830,0.352941,0.235294,0.224943,0.105380
315,286,197.214172,95.574829,10,nan,1.072754,0.037517,0.074723,0.176471,0.352941,0.146728,0.122895
701,105,190.837097,173.479095,32,nan,1.124810,0.178569,0.025015,0.411765,0.294118,0.193180,0.091243
91,219,184.597397,180.072449,23,nan,1.284898,0.105256,0.015690,0.000000,0.705882,0.066309,0.060508
791,284,180.427032,39.025887,27,nan,1.112616,0.011685,0.038471,0.058824,0.117647,0.062552,0.106420
791,283,177.735733,39.284481,32,nan,1.129115,0.010361,0.042291,0.000000,0.117647,0.056710,0.104326
791,285,176.702927,41.307430,23,nan,1.096167,0.009614,0.029910,0.058824,0.058824,0.059753,0.099460
315,287,174.986618,94.598213,16,nan,1.079745,0.050213,0.091111,0.882353,0.764706,0.142183,0.125932
791,258,170.824493,39.317982,25,nan,1.111496,0.012490,0.028420,0.000000,0.058824,0.056755,0.096877
791,287,169.549438,46.647388,13,nan,1.063621,0.020393,0.030515,0.117647,0.117647,0.052446,0.097549
791,178,168.245026,43.880848,33,nan,1.100816,0.010139,0.040329,0.058824,0.176471,0.059670,0.094810
791,179,167.907318,47.966034,22,nan,1.087192,0.011486,0.018787,0.058824,0.058824,0.060072,0.102547
791,286,167.190475,42.493706,16,nan,1.075537,0.017475,0.028241,0.117647,0.117647,0.052544,0.101425
701,124,166.646057,174.542526,50,nan,1.145557,0.138739,0.028266,0.529412,0.294118,0.165095,0.079267
791,177,165.797989,39.842644,36,nan,1.119114,0.011044,0.064271,0.058824,0.294118,0.058531,0.101797
791,259,165.361664,43.626583,18,nan,1.092202,0.014878,0.027970,0.117647,0.117647,0.059471,0.092790
565,212,165.315506,31.758472,76,nan,1.336969,0.167117,0.099933,0.117647,0.352941,0.198009,0.085229
791,260,165.116806,46.898811,15,nan,1.075122,0.013551,0.030044,0.058824,0.117647,0.058053,0.099092
1055,0,162.746994,41.808289,40,nan,1.231762,nan,nan,nan,nan,0.116498,0.073718
791,257,161.838882,36.416462,29,nan,1.125375,0.010957,0.027661,0.000000,0.117647,0.059397,0.086276
791,153,161.805786,40.594040,27,nan,1.094124,0.009056,0.022331,0.058824,0.058824,0.060194,0.098712
791,154,161.614777,42.919502,21,nan,1.079916,0.010804,0.024970,0.058824,0.000000,0.061295,0.094624
791,75,160.950058,38.978489,23,nan,1.097244,0.009647,0.026880,0.000000,0.117647,0.061540,0.094541
791,128,160.929047,37.544212,23,nan,1.080833,0.013753,0.022212,0.058824,0.058824,0.064136,0.098229
295,233,160.720276,51.037094,56,nan,1.337534,0.328341,0.153302,0.529412,0.000000,0.213026,0.078468
791,73,160.129669,30.216892,27,nan,1.127762,0.014138,0.035685,0.000000,0.117647,0.066438,0.087819
791,230,159.740646,34.906715,28,nan,1.127483,0.012797,0.020291,0.058824,0.000000,0.056371,0.095160
897,0,159.523193,28.854273,10,nan,1.129218,nan,nan,nan,nan,0.080914,0.051638
791,204,158.526535,42.401112,30,nan,1.105160,0.016121,0.029515,0.058824,0.058824,0.057039,0.094010
791,155,157.989304,42.859425,21,nan,1.068274,0.017903,0.027570,0.117647,0.176471,0.060674,0.097271
791,289,157.690140,45.081661,23,nan,1.056904,0.027972,0.042500,0.588235,0.764706,0.048940,0.099488
791,100,157.477783,35.952831,26,nan,1.111774,0.009189,0.030752,0.000000,0.058824,0.054901,0.097203
791,231,157.458054,37.116039,23,nan,1.107222,0.012062,0.028566,0.058824,0.058824,0.053816,0.090641
791,256,157.312820,33.418701,34,nan,1.136008,0.011226,0.022672,0.000000,0.117647,0.065108,0.074401
791,282,157.293304,37.003593,33,nan,1.138654,0.010092,0.026840,0.000000,0.117647,0.067144,0.083041
791,152,156.989761,35.523174,32,nan,1.107609,0.009173,0.034414,0.000000,0.117647,0.056231,0.094709
791,288,156.957108,44.131420,14,nan,1.059217,0.027219,0.019750,0.411765,0.117647,0.047246,0.095339
791,181,156.924332,42.608833,16,nan,1.061387,0.022045,0.028580,0.235294,0.117647,0.056587,0.092067
791,74,156.564468,34.554600,24,nan,1.112663,0.013504,0.031105,0.058824,0.058824,0.059223,0.093552
791,229,156.131516,33.913532,30,nan,1.139417,0.011054,0.038025,0.000000,0.235294,0.062958,0.084345
791,180,155.676865,40.371777,16,nan,1.071650,0.013521,0.024145,0.058824,0.058824,0.056517,0.091923
791,76,155.208710,36.799469,19,nan,1.083328,0.019831,0.025267,0.117647,0.058824,0.059610,0.088487
791,261,154.764786,41.299942,12,nan,1.067031,0.022883,0.020323,0.235294,0.176471,0.062223,0.087186
791,203,154.292114,40.350628,32,nan,1.119973,0.012490,0.023366,0.058824,0.058824,0.052949,0.090204
791,228,154.094070,33.992477,27,nan,1.148311,0.011600,0.040775,0.000000,0.352941,0.078134,0.069207
791,99,153.927658,34.653763,26,nan,1.127418,0.011593,0.037149,0.000000,0.235294,0.056706,0.096156
791,208,153.721802,39.093884,23,nan,1.060876,0.038395,0.038724,0.647059,0.647059,0.063232,0.083823
791,49,153.536423,40.537521,28,nan,1.103117,0.010691,0.026083,0.000000,0.058824,0.051203,0.093228
791,88,153.317810,21.245958,37,nan,1.170546,0.013115,0.026256,0.000000,0.117647,0.134642,0.069459
791,224,153.253815,33.115791,33,nan,1.167734,0.022709,0.044252,0.176471,0.411765,0.122520,0.057657
791,67,152.932816,32.787746,33,nan,1.170129,0.021646,0.033891,0.235294,0.529412,0.127630,0.069640
791,166,152.931412,29.329651,22,nan,1.170234,0.017622,0.027175,0.000000,0.000000,0.115795,0.054203
791,175,152.493713,29.003862,36,nan,1.145374,0.010548,0.027719,0.000000,0.117647,0.072530,0.071978
791,201,152.210831,38.126991,35,nan,1.147485,0.008764,0.027536,0.000000,0.058824,0.071691,0.065975
791,64,152.124725,33.128006,12,nan,1.165130,0.023800,0.026177,0.352941,0.235294,0.132637,0.070706
791,62,151.972137,37.153919,26,nan,1.169194,0.014154,0.036941,0.000000,0.117647,0.127388,0.064873
791,202,151.822098,41.932018,38,nan,1.136913,0.011638,0.024263,0.000000,0.058824,0.062948,0.080688
791,127,151.820984,35.359867,31,nan,1.094289,0.013004,0.028048,0.000000,0.117647,0.063161,0.092129
791,151,151.809662,38.634808,31,nan,1.123045,0.008126,0.031763,0.000000,0.176471,0.062224,0.088221
791,140,151.776978,30.834549,30,nan,1.159768,0.017286,0.027908,0.058824,0.117647,0.129923,0.059716
791,90,151.514648,28.690308,27,nan,1.167862,0.017587,0.021822,0.176471,0.058824,0.134643,0.072360
791,176,151.366867,36.216743,35,nan,1.131232,0.010366,0.054191,0.058824,0.058824,0.066053,0.079901
791,174,151.346008,31.019680,37,nan,1.153203,0.014483,0.025238,0.000000,0.058824,0.077914,0.063378
